review_id;author_title;author_id;author_image;review_text;review_rating;review_datetime_utc
ChZDSUhNMG9nS0VJQ0FnSUNiMmNiTE5BEAE;Shumaila Yousaf;116730042717464288995;https://lh3.googleusercontent.com/a-/ALV-UjVGShmW_XrzLIp0y_bU97e1_SoX-TgIPqDgzylExKQ03qzp_LZk=s120-c-rp-mo-ba3-br100;we ordered the platter but we didnt really like it. some of the meat pieces were nice but not all. i have had much tastier and cheaper platters. the waiters were nice but i found it irritating that before handing over the bill one waiter told everyone on the table to take the mobile and review straight away the restaurant with 5 stars! if they really wanted to improve their service they should have asked us to fill in a questionnaire on paper like other places do. its a pity that this was the only restaurant in the area.;3;07/29/2024 01:38:46
ChdDSUhNMG9nS0VJQ0FnSURqMUwtMDd3RRAB;Omara Sajad;113471532089272853837;https://lh3.googleusercontent.com/a-/ALV-UjW9pLQ2RTNWdgTbb_N3R82A_PiXTzzzJwFUQjXyycbtYyc97n9F=s120-c-rp-mo-ba2-br100;this restaurant offers an excellent environment and a good ambiance making it a great spot for dining out. the service was impressive attentive and quick. however the hyderabadi chicken biryani had a slight drawback as the rice was a bit undercooked. despite this the flavors were on point. overall ratings food 910 service 1010 environment 1010 its a worthy choice for those looking to enjoy a good meal in a comfortable setting.;5;04/29/2024 23:44:14
ChZDSUhNMG9nS0VJQ0FnSUN6N2RIb0R3EAE;MUHAMMAD ALI;102986301461241644436;https://lh3.googleusercontent.com/a-/ALV-UjWx5KJ9mPvzQbHJD6619aZQzNevYnup2BMSL80Du0JwJP5osNJ5=s120-c-rp-mo-ba3-br100;tkr shakarparian offers a captivating outdoor dining experience with an enchanting atmosphere 1010. their specialty dampukht earns a solid 910 for its rich flavor and perfect spice balance peshawari like less spices. the platter though slightly less impressive still delights with an 810 rating for its variety and presentation. a memorable dining experience.;5;06/04/2024 05:28:59
