review_id;author_title;author_id;author_image;review_text;review_rating;review_datetime_utc
ChdDSUhNMG9nS0VJQ0FnSUNEaU5fYTNRRRAB;Dure Anmol;102413873058279410823;https://lh3.googleusercontent.com/a-/ALV-UjWVJaf4evUUk4cx0W-50rAXD9bPorekfffltE1fS5ty4LvY9HJN=s120-c-rp-mo-br100;johar town branch . avoid at all costs unprofessional and damaging hair experience save yourself the frustration and steer clear of this salon. the staffs lack of professionalism and expertise turned what should have been a pleasant salon visit into a nightmare. despite shelling out a hefty 20 k i left with my hair severely damaged due to their incompetence. its disheartening to see such disregard for customers wellbeing and hardearned money. take my advice and find a salon that values its customers and their hair health.;1;03/27/2024 21:56:40
ChZDSUhNMG9nS0VJQ0FnSURUanN1cllBEAE;Mahnoor;109724498558456025718;https://lh3.googleusercontent.com/a/ACg8ocJlmieaGc6Mf6BlEaxnpvQl3fvpCIfXo37Zfxu-9wl-QeQerA=s120-c-rp-mo-br100;cosmo salon services are really good and reasonable. i visited their pia branch there the infra is not fabulous but their staff is really nice.specially maria she deals very patiently did really relaxing massage n facial. thank you so much!;3;05/24/2024 16:51:51
ChZDSUhNMG9nS0VJQ0FnSUNqam9DblpnEAE;Bobby;105569402519969214846;https://lh3.googleusercontent.com/a-/ALV-UjVWo8LIstuWQGiGlH3XZSOV6M7BenefYk4jXwFwRbuS8H9NBB8=s120-c-rp-mo-ba4-br100;staff good mannered good behavior helpfull and understanding;5;04/21/2024 13:56:13
